iter	Accuracy	MultiClass
98	0.8462913315	0.5279847032
99	0.8489722967	0.5234775834
100	0.8507596068	0.5207470637
101	0.8525469169	0.5197549575
102	0.8525469169	0.5188169034
103	0.8525469169	0.516098708
104	0.8534405719	0.5150818815
105	0.8570151921	0.5133741241
106	0.8570151921	0.5090085312
107	0.8588025022	0.5064843714
108	0.8579088472	0.5040268353
109	0.8596961573	0.5015741301
110	0.8650580876	0.5001595331
111	0.8677390527	0.4960122406
112	0.8659517426	0.4927327358
113	0.8695263628	0.4891451564
114	0.8704200179	0.4843946219
115	0.8793565684	0.4814363934
116	0.8802502234	0.4796614402
117	0.8829311886	0.476851161
118	0.8838248436	0.474283566
119	0.8838248436	0.4720707054
120	0.8829311886	0.4705620115
121	0.8865058088	0.4661776301
122	0.8873994638	0.4636343395
123	0.8882931189	0.4607919992
124	0.8873994638	0.4585532282
125	0.8882931189	0.4553147832
126	0.890974084	0.4522890117
127	0.8936550492	0.4483648421
128	0.8945487042	0.4469390677
129	0.8927613941	0.445924127
130	0.8936550492	0.4439689399
131	0.8954423592	0.4411844974
132	0.8963360143	0.4390537684
133	0.8963360143	0.4359561181
134	0.8972296693	0.4335079057
135	0.8999106345	0.4300705721
136	0.9008042895	0.4287461431
137	0.9016979446	0.4261842724
138	0.9008042895	0.4228949282
139	0.9043789097	0.4202427729
140	0.9034852547	0.418210625
141	0.9043789097	0.416879911
142	0.9079535299	0.4154716884
143	0.9106344951	0.4115271138
144	0.9106344951	0.4092531233
145	0.9124218052	0.4063215803
146	0.9133154602	0.4036661209
147	0.9133154602	0.4014859706
148	0.9124218052	0.3993804022
149	0.9159964254	0.3977275753
150	0.9168900804	0.3953154374
151	0.9168900804	0.3941388284
152	0.9186773905	0.39158149
153	0.9186773905	0.3898006844
154	0.9222520107	0.387615277
155	0.9213583557	0.3855889367
156	0.9231456658	0.3831678583
157	0.9249329759	0.3817027387
158	0.9258266309	0.3800480933
159	0.9258266309	0.3785137
160	0.9258266309	0.376076788
161	0.9249329759	0.3736923772
162	0.9249329759	0.3729653325
163	0.9258266309	0.3713164614
164	0.926720286	0.3695892053
165	0.9285075961	0.3662630026
166	0.9320822163	0.3642696619
167	0.9329758713	0.3623594356
168	0.9329758713	0.3610189155
169	0.9347631814	0.3597488623
170	0.9365504915	0.3580066927
171	0.9365504915	0.3555206583
172	0.9365504915	0.3523194506
173	0.9392314567	0.3489875402
174	0.9383378016	0.3480127071
175	0.9383378016	0.3474847642
176	0.9383378016	0.3458864055
177	0.9392314567	0.3445568066
178	0.9410187668	0.3429310953
179	0.9410187668	0.3410306616
180	0.9463806971	0.3383101663
181	0.9463806971	0.3364018617
182	0.9472743521	0.3351469616
183	0.9472743521	0.3331463014
184	0.9481680071	0.3317641246
185	0.9481680071	0.3297656271
186	0.9481680071	0.3286477069
187	0.9481680071	0.3272060543
188	0.9490616622	0.3259384308
189	0.9499553172	0.3245626507
190	0.9508489723	0.3237187708
191	0.9526362824	0.3225075693
192	0.9517426273	0.3215279467
193	0.9517426273	0.3203128519
194	0.9526362824	0.319151678
195	0.9544235925	0.3168399117
196	0.9544235925	0.3154950837
197	0.9553172475	0.3136608731
198	0.9553172475	0.3120714962
199	0.9571045576	0.3109053294
200	0.9562109026	0.3094029798
201	0.9571045576	0.3079034213
202	0.9588918677	0.3068928149
203	0.9588918677	0.3055397816
204	0.9571045576	0.3037839358
205	0.9597855228	0.3015225687
206	0.9597855228	0.2996682728
207	0.9615728329	0.2987080693
208	0.9615728329	0.2965664587
209	0.9624664879	0.2953745076
210	0.9624664879	0.2936947298
211	0.964253798	0.291459774
212	0.964253798	0.2893384583
213	0.9660411081	0.2886586744
214	0.9660411081	0.2873761572
215	0.9678284182	0.2862546467
216	0.9678284182	0.2851156162
217	0.9687220733	0.2838736764
218	0.9696157283	0.2822162655
219	0.9696157283	0.2817674557
220	0.9722966935	0.2806075711
221	0.9740840036	0.2790072009
222	0.9749776586	0.2770683773
223	0.9749776586	0.2757568531
224	0.9758713137	0.2746598268
225	0.9749776586	0.274057303
226	0.9758713137	0.272966769
227	0.9767649687	0.2711732835
228	0.9776586238	0.2695927748
229	0.9776586238	0.2683120966
230	0.9785522788	0.2674319445
231	0.9785522788	0.2662297778
232	0.9785522788	0.2649000924
233	0.9785522788	0.2633937281
234	0.9794459339	0.2623802285
235	0.9794459339	0.2608028812
236	0.9803395889	0.2593701016
237	0.9839142091	0.2577877262
238	0.9839142091	0.2563814688
239	0.9839142091	0.2554321728
240	0.9839142091	0.2545050279
241	0.9830205541	0.2530811111
242	0.9839142091	0.2520517467
243	0.9839142091	0.2505350791
244	0.9839142091	0.2497024914
245	0.9830205541	0.2488941784
246	0.9830205541	0.2478500618
247	0.9830205541	0.247051474
248	0.9830205541	0.2460027334
249	0.9830205541	0.2450468074
250	0.9839142091	0.2443452375
251	0.9848078642	0.242688079
252	0.9848078642	0.2415813664
253	0.9857015192	0.2406295543
254	0.9857015192	0.2399613117
255	0.9857015192	0.2391031701
256	0.9865951743	0.2381663365
257	0.9865951743	0.2367916556
258	0.9857015192	0.2356358476
259	0.9883824844	0.2342648909
260	0.9883824844	0.2335832325
261	0.9874888293	0.2331213469
262	0.9874888293	0.2317836062
263	0.9865951743	0.2306160709
264	0.9883824844	0.229485692
265	0.9883824844	0.2283509822
